d, r, Trial, Samples, Rate Err, Weight Err, Time, Success
2, 3, 5, 100000, 0.0288, 0.3274, 1.2237, 0
2, 3, Median, 1000.0, 0.0251, 0.0978, 0.0310, 0.80
2, 4, 1, 1000, 0.1141, 1.2039, 0.0319, 0
2, 4, 1, 10000, 0.0345, 0.0097, 0.1879, 1
2, 4, 2, 1000, 0.0380, 0.0930, 0.0304, 1
2, 4, 3, 1000, 0.2461, 0.4327, 0.0304, 0
2, 4, 3, 10000, 0.2487, 0.5127, 0.1778, 0
2, 4, 3, 50000, 0.3211, 1.0197, 0.7734, 0
2, 4, 4, 1000, 0.2840, 0.3159, 0.0299, 0
2, 4, 4, 10000, 0.0846, 0.4742, 0.1856, 0
2, 4, 4, 50000, 0.2757, 0.4487, 0.7649, 0
2, 4, 4, 100000, 0.1736, 0.1045, 1.5109, 0
2, 4, 5, 1000, 0.2627, 19.2874, 0.0333, 0
2, 4, 5, 10000, 0.2209, 21.3372, 0.1849, 0
2, 4, 5, 50000, 0.3135, 16.9311, 0.7884, 0
2, 4, 5, 100000, 0.2741, 9.7740, 1.4906, 0
2, 4, Median, 100000.0, 0.1736, 0.1045, 0.1879, 0.40
2, 5, 1, 1000, 0.2021, 0.5169, 0.0383, 0
2, 5, 1, 10000, 0.2849, 0.3756, 0.2169, 0
2, 5, 1, 50000, 0.0627, 0.0734, 0.9126, 1
2, 5, 2, 1000, 0.2610, 0.5408, 0.0382, 0
2, 5, 2, 10000, 0.2125, 0.4479, 0.2124, 0
2, 5, 2, 50000, 0.2072, 0.5035, 0.9832, 0
2, 5, 2, 100000, 0.1424, 0.2472, 1.8073, 0
2, 5, 3, 1000, 0.1673, 0.1115, 0.0381, 0
2, 5, 3, 10000, 0.0574, 0.0843, 0.2103, 1
2, 5, 4, 1000, 0.0792, 0.1178, 0.0352, 1
2, 5, 5, 1000, 0.1365, 0.3621, 0.0386, 0
2, 5, 5, 10000, 0.0638, 0.0161, 0.2279, 1
2, 5, Median, 10000.0, 0.0638, 0.0843, 0.2279, 0.80
2, 6, 1, 1000, 0.5037, 1.1850, 0.1275, 0
2, 6, 1, 10000, 0.3085, 0.8988, 0.2530, 0
2, 6, 1, 50000, 0.2983, 0.6490, 1.1802, 0
2, 6, 1, 100000, 0.2777, 0.5303, 2.2304, 0
2, 6, 2, 1000, 0.2796, 0.4438, 0.0665, 0
2, 6, 2, 10000, 0.3401, 0.7877, 0.2688, 0
2, 6, 2, 50000, 0.3788, 0.4403, 1.1869, 0
2, 6, 2, 100000, 0.2156, 0.4994, 2.3807, 0
